"Anticipation Loss","Context Fraction","Method Name","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50","mR@10","mR@20","mR@50"
"1","0.3","SgatTran",4.67,5.95,6.11,7.86,18.53,33.04,6.12,10.69,13.69
"1","0.3","SgatFormer",12.13,14.11,14.33,17.4,25.52,35.82,11.08,13.19,13.88
"1","0.3","SgatODE",12.07,15.42,16.54,15.45,22.44,34.8,9.71,11.12,11.66
"1","0.3","SgatSDE",12.09,15.71,17.13,14.86,23.75,36.98,6.67,7.08,7.1
"1","0.5","SgatTran",4.97,6.36,6.56,8.57,20.46,34.94,6.85,12.95,16.63
"1","0.5","SgatFormer",13.29,15.33,15.6,18.75,27.0,37.47,13.27,15.96,16.94
"1","0.5","SgatODE",13.57,17.52,18.69,17.12,25.07,39.03,10.58,11.75,12.11
"1","0.5","SgatSDE",12.59,16.77,18.08,15.41,24.12,39.39,6.86,7.34,7.37
"1","0.7","SgatTran",5.6,7.23,7.45,9.59,22.79,37.64,8.35,16.36,21.04
"1","0.7","SgatFormer",14.56,16.92,17.22,21.06,29.98,40.8,17.12,20.73,22.04
"1","0.7","SgatODE",15.58,19.24,20.65,19.68,28.53,42.35,10.66,11.47,11.64
"1","0.7","SgatSDE",14.41,18.36,19.9,17.97,27.12,42.5,7.38,7.77,7.8
"1","0.9","SgatTran",6.32,8.25,8.55,11.52,25.67,40.33,10.39,21.13,27.83
"1","0.9","SgatFormer",18.6,21.31,21.73,25.35,34.64,44.34,24.3,30.53,32.97
"1","0.9","SgatODE",17.72,21.91,23.0,23.09,32.98,47.79,10.88,11.56,11.6
"1","0.9","SgatSDE",15.75,20.2,21.45,20.38,29.99,46.09,7.98,8.52,8.54
"3","0.3","SgatTran",6.81,8.15,8.33,13.88,23.66,33.94,12.41,18.48,21.1
"3","0.3","SgatFormer",13.62,15.46,15.7,19.97,27.44,35.56,18.06,22.43,24.43
"3","0.3","SgatODE",10.55,13.75,15.02,13.29,20.08,32.99,8.79,10.43,11.77
"3","0.3","SgatSDE",11.42,15.3,16.92,15.64,23.05,37.15,8.82,9.61,9.68
"3","0.5","SgatTran",7.28,8.78,9.0,15.29,25.84,36.64,13.79,21.14,24.52
"3","0.5","SgatFormer",14.72,16.84,17.19,21.44,29.02,37.87,20.15,25.2,27.67
"3","0.5","SgatODE",11.59,15.19,16.41,14.27,21.43,36.0,8.63,9.98,10.91
"3","0.5","SgatSDE",12.39,16.61,17.96,16.29,25.06,39.86,9.18,10.03,10.15
"3","0.7","SgatTran",7.81,9.49,9.71,16.18,27.5,39.03,15.51,24.33,28.23
"3","0.7","SgatFormer",16.47,18.93,19.29,22.77,31.06,40.29,21.94,28.07,30.8
"3","0.7","SgatODE",12.8,16.39,17.8,16.48,24.4,39.64,8.5,9.36,9.63
"3","0.7","SgatSDE",13.82,17.74,19.32,18.12,27.34,44.35,9.79,10.52,10.59
"3","0.9","SgatTran",8.23,10.08,10.39,17.53,29.26,42.5,16.78,26.51,31.38
"3","0.9","SgatFormer",18.57,21.43,21.9,24.33,33.59,43.57,24.13,31.25,34.48
"3","0.9","SgatODE",14.01,18.13,19.31,17.83,27.42,43.42,8.0,8.5,8.57
"3","0.9","SgatSDE",15.14,19.44,21.03,20.79,30.9,46.82,10.6,11.53,11.62
"5","0.3","SgatTran",4.19,5.47,5.64,9.72,20.12,30.88,8.98,16.49,20.71
"5","0.3","SgatFormer",14.17,16.01,16.26,19.51,26.94,35.49,18.31,22.96,25.2
"5","0.3","SgatODE",11.02,14.04,15.12,13.77,20.65,34.19,7.7,8.43,8.51
"5","0.3","SgatSDE",11.2,15.11,16.63,15.06,22.35,36.36,7.77,8.35,8.4
"5","0.5","SgatTran",4.43,5.83,6.03,10.42,21.81,33.44,9.72,18.57,23.56
"5","0.5","SgatFormer",15.03,17.13,17.46,20.64,28.25,37.82,19.82,25.02,27.66
"5","0.5","SgatODE",11.61,15.23,16.38,14.36,21.86,37.52,7.78,8.56,8.64
"5","0.5","SgatSDE",11.99,15.7,17.4,15.8,23.58,38.7,8.18,8.8,8.86
"5","0.7","SgatTran",5.01,6.61,6.83,10.73,23.29,35.47,10.26,20.52,26.47
"5","0.7","SgatFormer",16.41,18.8,19.14,21.83,30.2,40.15,21.33,27.62,30.53
"5","0.7","SgatODE",13.11,16.67,17.92,16.22,24.37,40.85,7.77,8.38,8.47
"5","0.7","SgatSDE",13.04,17.08,18.55,17.55,25.81,42.02,9.02,9.62,9.65
"5","0.9","SgatTran",5.48,7.29,7.58,11.52,24.34,38.14,11.01,21.77,28.54
"5","0.9","SgatFormer",18.15,21.0,21.41,23.56,32.58,43.25,23.32,30.53,33.93
"5","0.9","SgatODE",14.26,17.83,18.99,17.91,26.72,44.39,7.35,7.74,7.8
"5","0.9","SgatSDE",14.23,18.08,19.68,19.33,28.37,45.34,9.46,10.15,10.25
