"Anticipation Loss","Context Fraction","Method Name","R@10","R@20","R@50","R@10","R@20","R@50","R@10","R@20","R@50"
"1","0.3","SgatTran",30.56,31.97,31.97,38.89,57.45,65.02,34.16,43.28,44.11
"1","0.3","SgatFormer",39.39,40.75,40.76,47.47,60.31,65.16,35.5,37.99,38.15
"1","0.3","SgatODE",37.08,39.52,39.55,43.13,56.22,64.44,25.21,25.87,25.87
"1","0.3","SgatSDE",38.92,41.47,41.51,45.72,58.43,65.18,22.24,22.45,22.45
"1","0.5","SgatTran",34.59,36.18,36.18,43.91,64.86,73.15,39.07,49.84,50.89
"1","0.5","SgatFormer",44.97,46.56,46.57,53.87,67.98,73.38,43.39,46.86,47.05
"1","0.5","SgatODE",43.09,45.79,45.81,49.63,64.11,72.82,28.62,29.12,29.12
"1","0.5","SgatSDE",43.8,46.6,46.62,51.35,65.65,73.37,24.29,24.43,24.43
"1","0.7","SgatTran",39.6,41.21,41.21,51.1,74.57,82.84,45.47,57.86,58.95
"1","0.7","SgatFormer",52.6,54.19,54.19,62.72,78.04,83.12,53.83,58.35,58.58
"1","0.7","SgatODE",50.92,53.29,53.3,59.58,74.98,83.0,33.16,33.62,33.62
"1","0.7","SgatSDE",51.25,53.7,53.7,60.95,75.81,83.27,28.0,28.12,28.12
"1","0.9","SgatTran",45.82,47.18,47.19,61.7,85.31,92.89,55.04,67.45,68.59
"1","0.9","SgatFormer",62.1,63.51,63.52,74.42,88.98,93.16,66.84,72.95,73.3
"1","0.9","SgatODE",59.68,61.33,61.34,73.15,87.18,93.33,36.08,36.41,36.41
"1","0.9","SgatSDE",58.8,60.41,60.41,73.59,87.39,93.45,31.26,31.4,31.4
"3","0.3","SgatTran",31.81,33.23,33.23,39.06,56.47,64.94,34.98,44.59,46.54
"3","0.3","SgatFormer",39.92,41.43,41.43,46.87,60.34,65.25,41.91,47.13,47.63
"3","0.3","SgatODE",34.93,37.32,37.34,40.52,54.08,63.94,22.38,23.91,24.18
"3","0.3","SgatSDE",39.67,42.22,42.26,46.88,59.14,65.25,21.36,21.53,21.53
"3","0.5","SgatTran",37.4,38.98,38.99,43.87,63.57,73.05,40.14,51.98,54.5
"3","0.5","SgatFormer",45.5,47.22,47.23,52.8,67.9,73.42,48.61,55.26,55.95
"3","0.5","SgatODE",40.71,43.38,43.4,47.01,62.21,72.4,24.87,25.93,26.06
"3","0.5","SgatSDE",44.96,47.66,47.69,52.53,66.42,73.46,23.49,23.67,23.67
"3","0.7","SgatTran",44.26,45.85,45.85,51.21,72.81,82.75,46.4,59.71,62.63
"3","0.7","SgatFormer",53.15,54.85,54.85,61.33,77.65,83.16,57.19,64.89,65.63
"3","0.7","SgatODE",49.11,51.59,51.6,58.02,74.02,82.77,28.01,28.53,28.58
"3","0.7","SgatSDE",51.96,54.48,54.48,61.79,76.71,83.38,26.73,26.85,26.85
"3","0.9","SgatTran",50.81,52.14,52.14,61.01,83.52,92.79,54.53,68.16,70.79
"3","0.9","SgatFormer",62.3,63.72,63.72,72.74,88.35,93.2,67.76,75.68,76.42
"3","0.9","SgatODE",58.15,59.77,59.77,72.6,86.73,93.2,30.25,30.34,30.34
"3","0.9","SgatSDE",60.29,61.93,61.93,74.83,88.02,93.47,30.01,30.12,30.12
"5","0.3","SgatTran",34.06,35.5,35.51,39.82,56.63,64.89,36.15,45.38,47.48
"5","0.3","SgatFormer",40.47,42.0,42.0,47.27,60.46,65.26,43.93,49.89,50.47
"5","0.3","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.3","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatTran",39.05,40.65,40.65,44.74,63.8,72.98,41.07,52.0,54.56
"5","0.5","SgatFormer",46.01,47.71,47.72,53.29,67.98,73.44,50.25,57.25,57.99
"5","0.5","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.5","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatTran",44.84,46.45,46.45,51.94,72.82,82.67,47.12,59.32,62.18
"5","0.7","SgatFormer",53.02,54.73,54.73,61.71,77.62,83.15,57.92,65.81,66.5
"5","0.7","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.7","SgatSDE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatTran",50.22,51.54,51.54,61.54,83.41,92.67,54.78,67.23,69.74
"5","0.9","SgatFormer",61.88,63.31,63.31,73.3,88.63,93.21,68.23,75.78,76.38
"5","0.9","SgatODE","-","-","-","-","-","-","-","-","-"
"5","0.9","SgatSDE","-","-","-","-","-","-","-","-","-"
